trial_id,variable,level,n_arm1,n_arm2,count_arm1,count_arm2,prop_arm1,prop_arm2,reported_p,row_chisq_p,one_vs_rest,abs_p_delta,flagged_p_delta_0_05
pronto_lrm_2026_s2213260025004333,Ethnicity,White,2738,2715,2314,2314,0.8451424397370343,0.8523020257826888,NA,0.4606927789149241,TRUE,NA,NA
pronto_lrm_2026_s2213260025004333,Ethnicity,White English/Welsh/Scottish/Northern Irish/British,2738,2715,2258,2252,0.8246895544192842,0.8294659300184162,NA,0.6409943807781187,TRUE,NA,NA
pronto_lrm_2026_s2213260025004333,Ethnicity,White Irish,2738,2715,10,15,0.00365230094959824,0.00552486187845303,NA,0.30609647542433094,TRUE,NA,NA
pronto_lrm_2026_s2213260025004333,Ethnicity,Gypsy or Irish Traveller,2738,2715,0,1,0,3.683241252302e-4,NA,0.3152249326400037,TRUE,NA,NA
pronto_lrm_2026_s2213260025004333,Ethnicity,Any other White background,2738,2715,46,46,0.01680058436815193,0.01694290976058932,NA,0.9674534821062208,TRUE,NA,NA
pronto_lrm_2026_s2213260025004333,Ethnicity,Mixed,2738,2715,17,17,0.00620891161431702,0.00626151012891344,NA,0.9803170658725074,TRUE,NA,NA
pronto_lrm_2026_s2213260025004333,Ethnicity,White and Black Caribbean,2738,2715,3,5,0.00109569028487947,0.00184162062615101,NA,0.4717890984967129,TRUE,NA,NA
pronto_lrm_2026_s2213260025004333,Ethnicity,White and Black African,2738,2715,4,3,0.00146092037983929,0.0011049723756906,NA,0.7135862089816982,TRUE,NA,NA
pronto_lrm_2026_s2213260025004333,Ethnicity,White and Asian,2738,2715,3,2,0.00109569028487947,7.366482504604e-4,NA,0.66139577167345,TRUE,NA,NA
pronto_lrm_2026_s2213260025004333,Ethnicity,Any other mixed/multiple ethnic background,2738,2715,7,7,0.00255661066471877,0.00257826887661141,NA,0.98739216763093,TRUE,NA,NA
pronto_lrm_2026_s2213260025004333,Ethnicity,Asian,2738,2715,64,45,0.02337472607742878,0.01657458563535911,NA,0.07283403341110029,TRUE,NA,NA
pronto_lrm_2026_s2213260025004333,Ethnicity,Indian,2738,2715,19,13,0.00693937180423666,0.00478821362799263,NA,0.29840253671343786,TRUE,NA,NA
pronto_lrm_2026_s2213260025004333,Ethnicity,Pakistani,2738,2715,20,14,0.00730460189919649,0.00515653775322283,NA,0.3136694367833962,TRUE,NA,NA
pronto_lrm_2026_s2213260025004333,Ethnicity,Bangladeshi,2738,2715,4,4,0.00146092037983929,0.00147329650092081,NA,0.9904744569006364,TRUE,NA,NA
pronto_lrm_2026_s2213260025004333,Ethnicity,Chinese,2738,2715,6,4,0.00219138056975894,0.00147329650092081,NA,0.5354609381524917,TRUE,NA,NA
pronto_lrm_2026_s2213260025004333,Ethnicity,Any other Asian background,2738,2715,15,10,0.00547845142439737,0.00368324125230202,NA,0.3265083547906339,TRUE,NA,NA
pronto_lrm_2026_s2213260025004333,Ethnicity,Black,2738,2715,27,23,0.00986121256391526,0.00847145488029466,NA,0.590342909552488,TRUE,NA,NA
pronto_lrm_2026_s2213260025004333,Ethnicity,African,2738,2715,14,13,0.00511322132943754,0.00478821362799263,NA,0.8642562225989376,TRUE,NA,NA
pronto_lrm_2026_s2213260025004333,Ethnicity,Caribbean,2738,2715,4,1,0.00146092037983929,3.683241252302e-4,NA,0.182586808541182,TRUE,NA,NA
pronto_lrm_2026_s2213260025004333,Ethnicity,Any other Black/African/Caribbean background,2738,2715,9,9,0.00328707085463842,0.00331491712707182,NA,0.9856989727321884,TRUE,NA,NA
pronto_lrm_2026_s2213260025004333,Ethnicity,Other,2738,2715,36,28,0.01314828341855368,0.01031307550644567,NA,0.331057277970751,TRUE,NA,NA
pronto_lrm_2026_s2213260025004333,Ethnicity,Arab,2738,2715,5,0,0.00182615047479912,0,NA,0.02590200169515837,TRUE,NA,NA
pronto_lrm_2026_s2213260025004333,Ethnicity,Any other ethnic group,2738,2715,31,28,0.01132213294375456,0.01031307550644567,NA,0.7187533310626973,TRUE,NA,NA
pronto_lrm_2026_s2213260025004333,Ethnicity,Missing/not declared,2738,2715,280,288,0.10226442658875091,0.10607734806629834,NA,0.6448976946232327,TRUE,NA,NA
pronto_lrm_2026_s2213260025004333,Number of Listed Comorbidities,0,2738,2715,547,512,0.1997808619430241,0.18858195211786372,NA,0.29591082865270285,TRUE,NA,NA
pronto_lrm_2026_s2213260025004333,Number of Listed Comorbidities,1,2738,2715,559,563,0.204163623082542,0.20736648250460404,NA,0.7698833137681659,TRUE,NA,NA
pronto_lrm_2026_s2213260025004333,Number of Listed Comorbidities,2+,2738,2715,1592,1611,0.581446311176041,0.5933701657458563,NA,0.371180015698772,TRUE,NA,NA
pronto_lrm_2026_s2213260025004333,Number of Listed Comorbidities,Missing,2738,2715,40,29,0.01460920379839298,0.01068139963167587,NA,0.19447484407720325,TRUE,NA,NA
pronto_lrm_2026_s2213260025004333,Comorbidities,Diabetes Mellitus,2738,2715,623,651,0.2275383491599708,0.2397790055248619,NA,0.2854850797261778,TRUE,NA,NA
pronto_lrm_2026_s2213260025004333,Comorbidities,COPD,2738,2715,624,615,0.2279035792549306,0.2265193370165746,NA,0.902923768907454,TRUE,NA,NA
pronto_lrm_2026_s2213260025004333,Comorbidities,Heart Failure,2738,2715,338,378,0.12344777209642074,0.13922651933701655,NA,0.08453133502295516,TRUE,NA,NA
pronto_lrm_2026_s2213260025004333,Comorbidities,Moderate to severe CKD (Grade III or above),2738,2715,371,372,0.13550036523009495,0.13701657458563535,NA,0.8703747098900451,TRUE,NA,NA
pronto_lrm_2026_s2213260025004333,Comorbidities,Ischaemic Heart Disease,2738,2715,287,314,0.10482103725346968,0.1156537753222836,NA,0.20153051771752797,TRUE,NA,NA
pronto_lrm_2026_s2213260025004333,Comorbidities,Stroke or TIA,2738,2715,282,292,0.10299488677867057,0.10755064456721916,NA,0.5836242312960438,TRUE,NA,NA
pronto_lrm_2026_s2213260025004333,Comorbidities,Dementia,2738,2715,253,266,0.09240321402483564,0.09797421731123387,NA,0.4833518357052051,TRUE,NA,NA
pronto_lrm_2026_s2213260025004333,Comorbidities,Physical Disability,2738,2715,249,239,0.09094229364499634,0.08802946593001841,NA,0.7063520593668183,TRUE,NA,NA
pronto_lrm_2026_s2213260025004333,Comorbidities,Solid Tumour Malignancy,2738,2715,206,204,0.07523739956172389,0.07513812154696133,NA,0.988909218874533,TRUE,NA,NA
pronto_lrm_2026_s2213260025004333,Comorbidities,Myocardial Infarction,2738,2715,180,187,0.06574141709276844,0.06887661141804788,NA,0.6440655543598619,TRUE,NA,NA
pronto_lrm_2026_s2213260025004333,Comorbidities,Peripheral Vascular Disease,2738,2715,110,124,0.04017531044558072,0.04567219152854512,NA,0.3166038620684718,TRUE,NA,NA
pronto_lrm_2026_s2213260025004333,Comorbidities,Connective Tissue Disease,2738,2715,101,88,0.03688823959094229,0.03241252302025783,NA,0.36629925367631005,TRUE,NA,NA
pronto_lrm_2026_s2213260025004333,Comorbidities,Liver Disease,2738,2715,75,64,0.02739225712198685,0.02357274401473296,NA,0.37091247086332463,TRUE,NA,NA
pronto_lrm_2026_s2213260025004333,Comorbidities,Learning Disability,2738,2715,41,41,0.01497443389335281,0.0151012891344383,NA,0.969300863048998,TRUE,NA,NA
pronto_lrm_2026_s2213260025004333,Comorbidities,Haematological malignancy,2738,2715,40,41,0.01460920379839298,0.0151012891344383,NA,0.8806124555111289,TRUE,NA,NA
