trial,variable,group,participants,mean,sd,decimals,type,name
1,1,1,2738,0.8451424397370343,NA,3,2,pronto_lrm_2026_s2213260025004333
1,1,2,2715,0.8523020257826888,NA,3,2,pronto_lrm_2026_s2213260025004333
1,2,1,2738,0.8246895544192842,NA,3,2,pronto_lrm_2026_s2213260025004333
1,2,2,2715,0.8294659300184162,NA,3,2,pronto_lrm_2026_s2213260025004333
1,3,1,2738,0.00365230094959824,NA,3,2,pronto_lrm_2026_s2213260025004333
1,3,2,2715,0.00552486187845303,NA,3,2,pronto_lrm_2026_s2213260025004333
1,4,1,2738,0,NA,3,2,pronto_lrm_2026_s2213260025004333
1,4,2,2715,3.683241252302e-4,NA,3,2,pronto_lrm_2026_s2213260025004333
1,5,1,2738,0.01680058436815193,NA,3,2,pronto_lrm_2026_s2213260025004333
1,5,2,2715,0.01694290976058932,NA,3,2,pronto_lrm_2026_s2213260025004333
1,6,1,2738,0.00620891161431702,NA,3,2,pronto_lrm_2026_s2213260025004333
1,6,2,2715,0.00626151012891344,NA,3,2,pronto_lrm_2026_s2213260025004333
1,7,1,2738,0.00109569028487947,NA,3,2,pronto_lrm_2026_s2213260025004333
1,7,2,2715,0.00184162062615101,NA,3,2,pronto_lrm_2026_s2213260025004333
1,8,1,2738,0.00146092037983929,NA,3,2,pronto_lrm_2026_s2213260025004333
1,8,2,2715,0.0011049723756906,NA,3,2,pronto_lrm_2026_s2213260025004333
1,9,1,2738,0.00109569028487947,NA,3,2,pronto_lrm_2026_s2213260025004333
1,9,2,2715,7.366482504604e-4,NA,3,2,pronto_lrm_2026_s2213260025004333
1,10,1,2738,0.00255661066471877,NA,3,2,pronto_lrm_2026_s2213260025004333
1,10,2,2715,0.00257826887661141,NA,3,2,pronto_lrm_2026_s2213260025004333
1,11,1,2738,0.02337472607742878,NA,3,2,pronto_lrm_2026_s2213260025004333
1,11,2,2715,0.01657458563535911,NA,3,2,pronto_lrm_2026_s2213260025004333
1,12,1,2738,0.00693937180423666,NA,3,2,pronto_lrm_2026_s2213260025004333
1,12,2,2715,0.00478821362799263,NA,3,2,pronto_lrm_2026_s2213260025004333
1,13,1,2738,0.00730460189919649,NA,3,2,pronto_lrm_2026_s2213260025004333
1,13,2,2715,0.00515653775322283,NA,3,2,pronto_lrm_2026_s2213260025004333
1,14,1,2738,0.00146092037983929,NA,3,2,pronto_lrm_2026_s2213260025004333
1,14,2,2715,0.00147329650092081,NA,3,2,pronto_lrm_2026_s2213260025004333
1,15,1,2738,0.00219138056975894,NA,3,2,pronto_lrm_2026_s2213260025004333
1,15,2,2715,0.00147329650092081,NA,3,2,pronto_lrm_2026_s2213260025004333
1,16,1,2738,0.00547845142439737,NA,3,2,pronto_lrm_2026_s2213260025004333
1,16,2,2715,0.00368324125230202,NA,3,2,pronto_lrm_2026_s2213260025004333
1,17,1,2738,0.00986121256391526,NA,3,2,pronto_lrm_2026_s2213260025004333
1,17,2,2715,0.00847145488029466,NA,3,2,pronto_lrm_2026_s2213260025004333
1,18,1,2738,0.00511322132943754,NA,3,2,pronto_lrm_2026_s2213260025004333
1,18,2,2715,0.00478821362799263,NA,3,2,pronto_lrm_2026_s2213260025004333
1,19,1,2738,0.00146092037983929,NA,3,2,pronto_lrm_2026_s2213260025004333
1,19,2,2715,3.683241252302e-4,NA,3,2,pronto_lrm_2026_s2213260025004333
1,20,1,2738,0.00328707085463842,NA,3,2,pronto_lrm_2026_s2213260025004333
1,20,2,2715,0.00331491712707182,NA,3,2,pronto_lrm_2026_s2213260025004333
1,21,1,2738,0.01314828341855368,NA,3,2,pronto_lrm_2026_s2213260025004333
1,21,2,2715,0.01031307550644567,NA,3,2,pronto_lrm_2026_s2213260025004333
1,22,1,2738,0.00182615047479912,NA,3,2,pronto_lrm_2026_s2213260025004333
1,22,2,2715,0,NA,3,2,pronto_lrm_2026_s2213260025004333
1,23,1,2738,0.01132213294375456,NA,3,2,pronto_lrm_2026_s2213260025004333
1,23,2,2715,0.01031307550644567,NA,3,2,pronto_lrm_2026_s2213260025004333
1,24,1,2738,0.10226442658875091,NA,3,2,pronto_lrm_2026_s2213260025004333
1,24,2,2715,0.10607734806629834,NA,3,2,pronto_lrm_2026_s2213260025004333
1,25,1,2738,0.1997808619430241,NA,3,2,pronto_lrm_2026_s2213260025004333
1,25,2,2715,0.18858195211786372,NA,3,2,pronto_lrm_2026_s2213260025004333
1,26,1,2738,0.204163623082542,NA,3,2,pronto_lrm_2026_s2213260025004333
1,26,2,2715,0.20736648250460404,NA,3,2,pronto_lrm_2026_s2213260025004333
1,27,1,2738,0.581446311176041,NA,3,2,pronto_lrm_2026_s2213260025004333
1,27,2,2715,0.5933701657458563,NA,3,2,pronto_lrm_2026_s2213260025004333
1,28,1,2738,0.01460920379839298,NA,3,2,pronto_lrm_2026_s2213260025004333
1,28,2,2715,0.01068139963167587,NA,3,2,pronto_lrm_2026_s2213260025004333
1,29,1,2738,0.2275383491599708,NA,3,2,pronto_lrm_2026_s2213260025004333
1,29,2,2715,0.2397790055248619,NA,3,2,pronto_lrm_2026_s2213260025004333
1,30,1,2738,0.2279035792549306,NA,3,2,pronto_lrm_2026_s2213260025004333
1,30,2,2715,0.2265193370165746,NA,3,2,pronto_lrm_2026_s2213260025004333
1,31,1,2738,0.12344777209642074,NA,3,2,pronto_lrm_2026_s2213260025004333
1,31,2,2715,0.13922651933701655,NA,3,2,pronto_lrm_2026_s2213260025004333
1,32,1,2738,0.13550036523009495,NA,3,2,pronto_lrm_2026_s2213260025004333
1,32,2,2715,0.13701657458563535,NA,3,2,pronto_lrm_2026_s2213260025004333
1,33,1,2738,0.10482103725346968,NA,3,2,pronto_lrm_2026_s2213260025004333
1,33,2,2715,0.1156537753222836,NA,3,2,pronto_lrm_2026_s2213260025004333
1,34,1,2738,0.10299488677867057,NA,3,2,pronto_lrm_2026_s2213260025004333
1,34,2,2715,0.10755064456721916,NA,3,2,pronto_lrm_2026_s2213260025004333
1,35,1,2738,0.09240321402483564,NA,3,2,pronto_lrm_2026_s2213260025004333
1,35,2,2715,0.09797421731123387,NA,3,2,pronto_lrm_2026_s2213260025004333
1,36,1,2738,0.09094229364499634,NA,3,2,pronto_lrm_2026_s2213260025004333
1,36,2,2715,0.08802946593001841,NA,3,2,pronto_lrm_2026_s2213260025004333
1,37,1,2738,0.07523739956172389,NA,3,2,pronto_lrm_2026_s2213260025004333
1,37,2,2715,0.07513812154696133,NA,3,2,pronto_lrm_2026_s2213260025004333
1,38,1,2738,0.06574141709276844,NA,3,2,pronto_lrm_2026_s2213260025004333
1,38,2,2715,0.06887661141804788,NA,3,2,pronto_lrm_2026_s2213260025004333
1,39,1,2738,0.04017531044558072,NA,3,2,pronto_lrm_2026_s2213260025004333
1,39,2,2715,0.04567219152854512,NA,3,2,pronto_lrm_2026_s2213260025004333
1,40,1,2738,0.03688823959094229,NA,3,2,pronto_lrm_2026_s2213260025004333
1,40,2,2715,0.03241252302025783,NA,3,2,pronto_lrm_2026_s2213260025004333
1,41,1,2738,0.02739225712198685,NA,3,2,pronto_lrm_2026_s2213260025004333
1,41,2,2715,0.02357274401473296,NA,3,2,pronto_lrm_2026_s2213260025004333
1,42,1,2738,0.01497443389335281,NA,3,2,pronto_lrm_2026_s2213260025004333
1,42,2,2715,0.0151012891344383,NA,3,2,pronto_lrm_2026_s2213260025004333
1,43,1,2738,0.01460920379839298,NA,3,2,pronto_lrm_2026_s2213260025004333
1,43,2,2715,0.0151012891344383,NA,3,2,pronto_lrm_2026_s2213260025004333
