trial_id,method,source_unit,metric,value_numeric,p_value,anomaly_flag,severity,details
pronto_lrm_2026_s2213260025004333,rounding_consistency,Ethnicity / White / pct,abs_percent_delta,0.0142439737034294,NA,FALSE,low,reported_percent=84.5; computed_percent=84.5142
pronto_lrm_2026_s2213260025004333,rounding_consistency,Ethnicity / White / usual_care,abs_percent_delta,0.0302025782688701,NA,FALSE,low,reported_percent=85.2; computed_percent=85.2302
pronto_lrm_2026_s2213260025004333,rounding_consistency,Ethnicity / White English/Welsh/Scottish/Northern Irish/British / pct,abs_percent_delta,0.031044558071585,NA,FALSE,low,reported_percent=82.5; computed_percent=82.469
pronto_lrm_2026_s2213260025004333,rounding_consistency,Ethnicity / White English/Welsh/Scottish/Northern Irish/British / usual_care,abs_percent_delta,0.0465930018416145,NA,FALSE,low,reported_percent=82.9; computed_percent=82.9466
pronto_lrm_2026_s2213260025004333,rounding_consistency,Ethnicity / White Irish / pct,abs_percent_delta,0.0347699050401753,NA,FALSE,low,reported_percent=0.4; computed_percent=0.3652
pronto_lrm_2026_s2213260025004333,rounding_consistency,Ethnicity / White Irish / usual_care,abs_percent_delta,0.047513812154696,NA,FALSE,low,reported_percent=0.6; computed_percent=0.5525
pronto_lrm_2026_s2213260025004333,rounding_consistency,Ethnicity / Gypsy or Irish Traveller / pct,abs_percent_delta,0,NA,FALSE,low,reported_percent=0; computed_percent=0
pronto_lrm_2026_s2213260025004333,rounding_consistency,Ethnicity / Gypsy or Irish Traveller / usual_care,abs_percent_delta,0.0368324125230202,NA,FALSE,low,reported_percent=0; computed_percent=0.0368
pronto_lrm_2026_s2213260025004333,rounding_consistency,Ethnicity / Any other White background / pct,abs_percent_delta,0.0199415631848063,NA,FALSE,low,reported_percent=1.7; computed_percent=1.6801
pronto_lrm_2026_s2213260025004333,rounding_consistency,Ethnicity / Any other White background / usual_care,abs_percent_delta,0.0057090239410682,NA,FALSE,low,reported_percent=1.7; computed_percent=1.6943
